store_number,address,city,state,zip
5976,2620 El Camino Real,Santa Clara,CA,95051
5972,15920 Los Gatos Boulevard,Los Gatos,CA,95032
5993,1333 South Winchester Blvd,San Jose,CA,95128
5985,1029 East Capitol Expressway,San Jose,CA,95121
5983,6215 Santa Teresa Boulevard,San Jose,CA,95119
5965,80 Rancho Del Mar,Aptos,CA,95003
5979,901 Soquel Avenue,Santa Cruz,CA,95062
5969,1988 Freedom Boulevard,Freedom,CA,95019
5966,1475 41st Avenue,Capitola,CA,95010
5968,6123 Highway 9,Felton,CA,95018
6714,9340 Deschutes Rd,Palo Cedro,CA,96073
6101,37435 Main Street,Burney,CA,96013
6099,975 East Cypress Avenue,Redding,CA,96002
6095,6424 Westside Road,Redding,CA,96001
6100,3095 Mcmurray Drive,Anderson,CA,96007
6097,1801 Eureka Way,Redding,CA,96001
6480,5350 Shasta Dam Boulevard,Shasta Lake,CA,96019
6104,807 South Main Street,Yreka,CA,96097
6103,310 West Lake Street,Mount Shasta,CA,96067
5941,135 Sunset Avenue,Suisun City,CA,94585
5910,60 Solano Square,Benicia,CA,94510
5945,2021 Solano Avenue,Vallejo,CA,94590
6031,218 North Main Street,Sebastopol,CA,95472
4212,955 Stony Point Road,Santa Rosa,CA,95407
6032,19205 Sonoma Highway,Sonoma,CA,95476
6021,1793 Marlow Road,Santa Rosa,CA,95401
6029,525 Healdsburg Avenue,Healdsburg,CA,95448
6023,1551 Farmers Lane,Santa Rosa,CA,95405
6512,1000 W Monte Vista Avenue,Turlock,CA,95382
6003,1830 Mitchell Road,Ceres,CA,95307
6019,653 North Golden State Blvd,Turlock,CA,95380
6015,1449 East F Street Ste 102,Oakdale,CA,95361
6013,1935 N Street,Newman,CA,95360
6008,1707 Mchenry Avenue,Modesto,CA,95350
6014,1300 West F Street,Oakdale,CA,95361
6010,1032 Oakdale Road,Modesto,CA,95355
6342,1590 Butte House Road,Yuba City,CA,95993
6188,640 Edith Avenue,Corning,CA,96021
6459,1735 E Walnut Avenue,Visalia,CA,93292
6723,160 E Antelope Ave,Woodlake,CA,93286
5805,2727 South Mooney Blvd,Visalia,CA,93277
6454,1645 E Tulare Avenue,Tulare,CA,93274
5806,5212 West Walnut Avenue,Visalia,CA,93277
5795,1051 West Visalia Road,Exeter,CA,93221
5798,262 North Highway 65,Lindsay,CA,93247
6522,875 North Alta Avenue,Dinuba,CA,93618
5799,66 West Morton Avenue,Porterville,CA,93257
6764,1710 N Farmersville Blvd,Farmersville,CA,93223
6016,855 Mono Way,Sonora,CA,95370
5560,3825 EThousand Oaks Blvd,Thousand Oaks,CA,91362
5780,720 North Ventura Road,Oxnard,CA,93030
5771,131 West Main Street,Ventura,CA,93001
5786,5845 East Los Angeles Ave,Simi Valley,CA,93063
5778,3941 Spring Road,Moorpark,CA,93021
